Rk,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
94,Nic Claxton,23,76,29.9,12.6,9.2,1.9,0.9,2.5,0.705,0,0.541
95,Amir Coffey,25,50,12.5,3.4,1.1,1.1,0.1,0.1,0.386,0.275,0.778
96,John Collins,25,71,30,13.1,6.5,1.2,0.6,1,0.508,0.292,0.803
97,Zach Collins,25,63,22.9,11.6,6.4,2.9,0.6,0.8,0.518,0.374,0.761
98,Chance Comanche,26,1,21,7,3,0,0,1,0.6,0,0.25
99,Mike Conley,35,67,30.3,11.9,2.7,6.7,1.1,0.2,0.428,0.385,0.834
99,Mike Conley,35,43,29.7,10.7,2.5,7.7,1,0.2,0.408,0.362,0.813
99,Mike Conley,35,24,31.4,14,3.1,5,1.2,0.2,0.46,0.42,0.863
100,Pat Connaughton,30,61,23.7,7.6,4.6,1.3,0.6,0.2,0.392,0.339,0.659
101,Xavier Cooks,27,10,12.6,3.8,3.8,0.6,0.6,0.4,0.607,0,0.4
102,Robert Covington,32,48,16.2,6,3.5,1.2,0.8,0.7,0.445,0.397,0.75
103,Torrey Craig,32,79,24.7,7.4,5.4,1.5,0.6,0.8,0.456,0.395,0.711
104,Jae Crowder,32,18,18.9,6.9,3.8,1.5,0.7,0.3,0.479,0.436,0.833
105,Jarrett Culver,23,10,13.7,4.4,3.8,0.6,0.6,0.2,0.395,0.083,0.692
106,Cade Cunningham,21,12,33.3,19.9,6.2,6,0.8,0.6,0.415,0.279,0.837
107,Seth Curry,32,61,19.9,9.2,1.6,1.6,0.6,0.1,0.463,0.405,0.927
108,Stephen Curry,34,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915
109,Dyson Daniels,19,59,17.7,3.8,3.2,2.3,0.7,0.2,0.418,0.314,0.65
110,Anthony Davis,29,56,34,25.9,12.5,2.6,1.1,2,0.563,0.257,0.784
111,Johnny Davis,20,28,15.1,5.8,2.3,1,0.4,0.3,0.386,0.243,0.519
112,Terence Davis,25,64,13.1,6.7,2.2,1,0.7,0.2,0.423,0.366,0.791
113,JD Davison,20,12,5.5,1.6,0.8,0.9,0.2,0.2,0.421,0.286,0.5
114,Darius Days,23,4,6.3,3.8,1.5,0.3,0,0.3,0.417,0.3,1
115,Dewayne Dedmon,33,38,11.2,5.2,3.5,0.7,0.2,0.5,0.51,0.308,0.673
115,Dewayne Dedmon,33,30,11.7,5.7,3.6,0.5,0.2,0.5,0.496,0.297,0.727
115,Dewayne Dedmon,33,8,9.5,3.5,3.1,1.3,0.3,0.6,0.591,0.5,0.2
116,Matthew Dellavedova,32,32,6.7,1.5,0.4,1.3,0.2,0,0.34,0.333,0.571
117,DeMar DeRozan,33,74,36.2,24.5,4.6,5.1,1.1,0.5,0.504,0.324,0.872
118,Moussa Diabaté,21,22,8.9,2.7,2.3,0.2,0.3,0.4,0.511,0.5,0.625
119,Mamadi Diakite,26,22,8,2.6,1.4,0.4,0.2,0.4,0.48,0.333,1
120,Hamidou Diallo,24,56,17.8,9.3,3.5,1,0.9,0.3,0.573,0.238,0.588
121,Gorgui Dieng,33,31,11.5,3.9,3.5,1.7,0.1,0.5,0.385,0.28,0.769
122,Ousmane Dieng,19,39,14.6,4.9,2.7,1.2,0.4,0.2,0.42,0.265,0.652
123,Spencer Dinwiddie,29,79,34.5,17.3,3.4,6.5,0.8,0.3,0.438,0.369,0.812
123,Spencer Dinwiddie,29,53,34.1,17.7,3.1,5.3,0.7,0.3,0.455,0.405,0.821
123,Spencer Dinwiddie,29,26,35.3,16.5,4.1,9.1,1.1,0.3,0.404,0.289,0.797
124,Donte DiVincenzo,26,72,26.3,9.4,4.5,3.5,1.3,0.1,0.435,0.397,0.817
